reference_key,category_id,product_name,keyword,normalized_keyword,match_type,source_name,source_url,source_locator,is_active
catalogue:1,5,Starfruit,Starfruit,starfruit,TEXT,PantryBuddy approved catalogue; identity retained from USDA FSIS FoodKeeper Data,https://catalog.data.gov/dataset/fsis-foodkeeper-data,products.product_id=1; inherited external source from shelf_life_rules.rule_id=13; exact catalogue name only,1
catalogue:2,5,Papaya,Papaya,papaya,TEXT,PantryBuddy approved catalogue; identity retained from USDA FSIS FoodKeeper Data,https://catalog.data.gov/dataset/fsis-foodkeeper-data,products.product_id=2; inherited external source from shelf_life_rules.rule_id=16; exact catalogue name only,1
catalogue:3,5,Cempedak,Cempedak,cempedak,TEXT,PantryBuddy approved catalogue; identity retained from USDA FSIS FoodKeeper Data,https://catalog.data.gov/dataset/fsis-foodkeeper-data,products.product_id=3; inherited external source from shelf_life_rules.rule_id=19; exact catalogue name only,1
catalogue:4,5,Sapodilla (Ciku),Sapodilla (Ciku),sapodilla ciku,TEXT,PantryBuddy approved catalogue; identity retained from USDA FSIS FoodKeeper Data,https://catalog.data.gov/dataset/fsis-foodkeeper-data,products.product_id=4; inherited external source from shelf_life_rules.rule_id=22; exact catalogue name only,1
catalogue:5,5,Dokong,Dokong,dokong,TEXT,PantryBuddy approved catalogue; identity retained from USDA FSIS FoodKeeper Data,https://catalog.data.gov/dataset/fsis-foodkeeper-data,products.product_id=5; inherited external source from shelf_life_rules.rule_id=25; exact catalogue name only,1
catalogue:6,5,Duku,Duku,duku,TEXT,PantryBuddy approved catalogue; identity retained from USDA FSIS FoodKeeper Data,https://catalog.data.gov/dataset/fsis-foodkeeper-data,products.product_id=6; inherited external source from shelf_life_rules.rule_id=28; exact catalogue name only,1
catalogue:7,5,Durian,Durian,durian,TEXT,PantryBuddy approved catalogue; identity retained from USDA FSIS FoodKeeper Data,https://catalog.data.gov/dataset/fsis-foodkeeper-data,products.product_id=7; inherited external source from shelf_life_rules.rule_id=31; exact catalogue name only,1
catalogue:8,5,Guava,Guava,guava,TEXT,PantryBuddy approved catalogue; identity retained from USDA FSIS FoodKeeper Data,https://catalog.data.gov/dataset/fsis-foodkeeper-data,products.product_id=8; inherited external source from shelf_life_rules.rule_id=34; exact catalogue name only,1
catalogue:9,5,Langsat,Langsat,langsat,TEXT,PantryBuddy approved catalogue; identity retained from USDA FSIS FoodKeeper Data,https://catalog.data.gov/dataset/fsis-foodkeeper-data,products.product_id=9; inherited external source from shelf_life_rules.rule_id=37; exact catalogue name only,1
catalogue:10,5,Pomelo,Pomelo,pomelo,TEXT,PantryBuddy approved catalogue; identity retained from USDA FSIS FoodKeeper Data,https://catalog.data.gov/dataset/fsis-foodkeeper-data,products.product_id=10; inherited external source from shelf_life_rules.rule_id=40; exact catalogue name only,1
catalogue:11,5,Sweet Orange,Sweet Orange,sweet orange,TEXT,PantryBuddy approved catalogue; identity retained from USDA FSIS FoodKeeper Data,https://catalog.data.gov/dataset/fsis-foodkeeper-data,products.product_id=11; inherited external source from shelf_life_rules.rule_id=43; exact catalogue name only,1
catalogue:12,5,Mango,Mango,mango,TEXT,PantryBuddy approved catalogue; identity retained from USDA FSIS FoodKeeper Data,https://catalog.data.gov/dataset/fsis-foodkeeper-data,products.product_id=12; inherited external source from shelf_life_rules.rule_id=46; exact catalogue name only,1
catalogue:13,5,Mangosteen,Mangosteen,mangosteen,TEXT,PantryBuddy approved catalogue; identity retained from USDA FSIS FoodKeeper Data,https://catalog.data.gov/dataset/fsis-foodkeeper-data,products.product_id=13; inherited external source from shelf_life_rules.rule_id=49; exact catalogue name only,1
catalogue:14,5,Dragon Fruit,Dragon Fruit,dragon fruit,TEXT,PantryBuddy approved catalogue; identity retained from USDA FSIS FoodKeeper Data,https://catalog.data.gov/dataset/fsis-foodkeeper-data,products.product_id=14; inherited external source from shelf_life_rules.rule_id=52; exact catalogue name only,1
catalogue:15,5,Pineapple,Pineapple,pineapple,TEXT,PantryBuddy approved catalogue; identity retained from USDA FSIS FoodKeeper Data,https://catalog.data.gov/dataset/fsis-foodkeeper-data,products.product_id=15; inherited external source from shelf_life_rules.rule_id=55; exact catalogue name only,1
catalogue:16,5,Jackfruit,Jackfruit,jackfruit,TEXT,PantryBuddy approved catalogue; identity retained from USDA FSIS FoodKeeper Data,https://catalog.data.gov/dataset/fsis-foodkeeper-data,products.product_id=16; inherited external source from shelf_life_rules.rule_id=58; exact catalogue name only,1
catalogue:17,5,Banana,Banana,banana,TEXT,PantryBuddy approved catalogue; identity retained from USDA FSIS FoodKeeper Data,https://catalog.data.gov/dataset/fsis-foodkeeper-data,products.product_id=17; inherited external source from shelf_life_rules.rule_id=61; exact catalogue name only,1
catalogue:18,5,Pulasan,Pulasan,pulasan,TEXT,PantryBuddy approved catalogue; identity retained from USDA FSIS FoodKeeper Data,https://catalog.data.gov/dataset/fsis-foodkeeper-data,products.product_id=18; inherited external source from shelf_life_rules.rule_id=64; exact catalogue name only,1
catalogue:19,5,Rambutan,Rambutan,rambutan,TEXT,PantryBuddy approved catalogue; identity retained from USDA FSIS FoodKeeper Data,https://catalog.data.gov/dataset/fsis-foodkeeper-data,products.product_id=19; inherited external source from shelf_life_rules.rule_id=67; exact catalogue name only,1
catalogue:20,5,Salak,Salak,salak,TEXT,PantryBuddy approved catalogue; identity retained from USDA FSIS FoodKeeper Data,https://catalog.data.gov/dataset/fsis-foodkeeper-data,products.product_id=20; inherited external source from shelf_life_rules.rule_id=70; exact catalogue name only,1
catalogue:21,5,Watermelon,Watermelon,watermelon,TEXT,PantryBuddy approved catalogue; identity retained from USDA FSIS FoodKeeper Data,https://catalog.data.gov/dataset/fsis-foodkeeper-data,products.product_id=21; inherited external source from shelf_life_rules.rule_id=73; exact catalogue name only,1
catalogue:22,5,Abiu,Abiu,abiu,TEXT,PantryBuddy approved catalogue; identity retained from USDA FSIS FoodKeeper Data,https://catalog.data.gov/dataset/fsis-foodkeeper-data,products.product_id=22; inherited external source from shelf_life_rules.rule_id=76; exact catalogue name only,1
catalogue:23,5,Grape,Grape,grape,TEXT,PantryBuddy approved catalogue; identity retained from USDA FSIS FoodKeeper Data,https://catalog.data.gov/dataset/fsis-foodkeeper-data,products.product_id=23; inherited external source from shelf_life_rules.rule_id=79; exact catalogue name only,1
catalogue:24,5,Avocado,Avocado,avocado,TEXT,PantryBuddy approved catalogue; identity retained from USDA FSIS FoodKeeper Data,https://catalog.data.gov/dataset/fsis-foodkeeper-data,products.product_id=24; inherited external source from shelf_life_rules.rule_id=82; exact catalogue name only,1
catalogue:25,5,Horse Mango (Bacang),Horse Mango (Bacang),horse mango bacang,TEXT,PantryBuddy approved catalogue; identity retained from USDA FSIS FoodKeeper Data,https://catalog.data.gov/dataset/fsis-foodkeeper-data,products.product_id=25; inherited external source from shelf_life_rules.rule_id=85; exact catalogue name only,1
catalogue:26,5,Bambangan,Bambangan,bambangan,TEXT,PantryBuddy approved catalogue; identity retained from USDA FSIS FoodKeeper Data,https://catalog.data.gov/dataset/fsis-foodkeeper-data,products.product_id=26; inherited external source from shelf_life_rules.rule_id=88; exact catalogue name only,1
catalogue:27,5,Bilimbi,Bilimbi,bilimbi,TEXT,PantryBuddy approved catalogue; identity retained from USDA FSIS FoodKeeper Data,https://catalog.data.gov/dataset/fsis-foodkeeper-data,products.product_id=27; inherited external source from shelf_life_rules.rule_id=91; exact catalogue name only,1
catalogue:28,5,Baccaurea Angulata,Baccaurea Angulata,baccaurea angulata,TEXT,PantryBuddy approved catalogue; identity retained from USDA FSIS FoodKeeper Data,https://catalog.data.gov/dataset/fsis-foodkeeper-data,products.product_id=28; inherited external source from shelf_life_rules.rule_id=94; exact catalogue name only,1
catalogue:29,5,Jujube,Jujube,jujube,TEXT,PantryBuddy approved catalogue; identity retained from USDA FSIS FoodKeeper Data,https://catalog.data.gov/dataset/fsis-foodkeeper-data,products.product_id=29; inherited external source from shelf_life_rules.rule_id=97; exact catalogue name only,1
catalogue:30,5,Malay Gooseberry (Cermai),Malay Gooseberry (Cermai),malay gooseberry cermai,TEXT,PantryBuddy approved catalogue; identity retained from USDA FSIS FoodKeeper Data,https://catalog.data.gov/dataset/fsis-foodkeeper-data,products.product_id=30; inherited external source from shelf_life_rules.rule_id=100; exact catalogue name only,1
catalogue:31,5,Dabai,Dabai,dabai,TEXT,PantryBuddy approved catalogue; identity retained from USDA FSIS FoodKeeper Data,https://catalog.data.gov/dataset/fsis-foodkeeper-data,products.product_id=31; inherited external source from shelf_life_rules.rule_id=103; exact catalogue name only,1
catalogue:32,5,Soursop,Soursop,soursop,TEXT,PantryBuddy approved catalogue; identity retained from USDA FSIS FoodKeeper Data,https://catalog.data.gov/dataset/fsis-foodkeeper-data,products.product_id=32; inherited external source from shelf_life_rules.rule_id=106; exact catalogue name only,1
catalogue:33,5,Cashew Apple,Cashew Apple,cashew apple,TEXT,PantryBuddy approved catalogue; identity retained from USDA FSIS FoodKeeper Data,https://catalog.data.gov/dataset/fsis-foodkeeper-data,products.product_id=33; inherited external source from shelf_life_rules.rule_id=109; exact catalogue name only,1
catalogue:34,5,Water Apple,Water Apple,water apple,TEXT,PantryBuddy approved catalogue; identity retained from USDA FSIS FoodKeeper Data,https://catalog.data.gov/dataset/fsis-foodkeeper-data,products.product_id=34; inherited external source from shelf_life_rules.rule_id=112; exact catalogue name only,1
catalogue:35,5,Wax Apple,Wax Apple,wax apple,TEXT,PantryBuddy approved catalogue; identity retained from USDA FSIS FoodKeeper Data,https://catalog.data.gov/dataset/fsis-foodkeeper-data,products.product_id=35; inherited external source from shelf_life_rules.rule_id=115; exact catalogue name only,1
catalogue:36,5,Malay Apple,Malay Apple,malay apple,TEXT,PantryBuddy approved catalogue; identity retained from USDA FSIS FoodKeeper Data,https://catalog.data.gov/dataset/fsis-foodkeeper-data,products.product_id=36; inherited external source from shelf_life_rules.rule_id=118; exact catalogue name only,1
catalogue:37,5,Ambarella,Ambarella,ambarella,TEXT,PantryBuddy approved catalogue; identity retained from USDA FSIS FoodKeeper Data,https://catalog.data.gov/dataset/fsis-foodkeeper-data,products.product_id=37; inherited external source from shelf_life_rules.rule_id=121; exact catalogue name only,1
catalogue:38,5,Kuini,Kuini,kuini,TEXT,PantryBuddy approved catalogue; identity retained from USDA FSIS FoodKeeper Data,https://catalog.data.gov/dataset/fsis-foodkeeper-data,products.product_id=38; inherited external source from shelf_life_rules.rule_id=124; exact catalogue name only,1
catalogue:39,5,Kundang,Kundang,kundang,TEXT,PantryBuddy approved catalogue; identity retained from USDA FSIS FoodKeeper Data,https://catalog.data.gov/dataset/fsis-foodkeeper-data,products.product_id=39; inherited external source from shelf_life_rules.rule_id=127; exact catalogue name only,1
catalogue:40,5,Lemon,Lemon,lemon,TEXT,PantryBuddy approved catalogue; identity retained from USDA FSIS FoodKeeper Data,https://catalog.data.gov/dataset/fsis-foodkeeper-data,products.product_id=40; inherited external source from shelf_life_rules.rule_id=130; exact catalogue name only,1
catalogue:41,5,Longan,Longan,longan,TEXT,PantryBuddy approved catalogue; identity retained from USDA FSIS FoodKeeper Data,https://catalog.data.gov/dataset/fsis-foodkeeper-data,products.product_id=41; inherited external source from shelf_life_rules.rule_id=133; exact catalogue name only,1
catalogue:42,5,Passion Fruit,Passion Fruit,passion fruit,TEXT,PantryBuddy approved catalogue; identity retained from USDA FSIS FoodKeeper Data,https://catalog.data.gov/dataset/fsis-foodkeeper-data,products.product_id=42; inherited external source from shelf_life_rules.rule_id=136; exact catalogue name only,1
catalogue:43,5,Cat's Eye Fruit (Mata Kucing),Cat's Eye Fruit (Mata Kucing),cat s eye fruit mata kucing,TEXT,PantryBuddy approved catalogue; identity retained from USDA FSIS FoodKeeper Data,https://catalog.data.gov/dataset/fsis-foodkeeper-data,products.product_id=43; inherited external source from shelf_life_rules.rule_id=139; exact catalogue name only,1
