label,category_id,source_locator
Starfruit,5,Existing catalogue product 1
Papaya,5,Existing catalogue product 2
Cempedak,5,Existing catalogue product 3
Sapodilla (Ciku),5,Existing catalogue product 4
Dokong,5,Existing catalogue product 5
Duku,5,Existing catalogue product 6
Durian,5,Existing catalogue product 7
Guava,5,Existing catalogue product 8
Langsat,5,Existing catalogue product 9
Pomelo,5,Existing catalogue product 10
Sweet Orange,5,Existing catalogue product 11
Mango,5,Existing catalogue product 12
Mangosteen,5,Existing catalogue product 13
Dragon Fruit,5,Existing catalogue product 14
Pineapple,5,Existing catalogue product 15
Jackfruit,5,Existing catalogue product 16
Banana,5,Existing catalogue product 17
Pulasan,5,Existing catalogue product 18
Rambutan,5,Existing catalogue product 19
Salak,5,Existing catalogue product 20
Watermelon,5,Existing catalogue product 21
Abiu,5,Existing catalogue product 22
Grape,5,Existing catalogue product 23
Avocado,5,Existing catalogue product 24
Horse Mango (Bacang),5,Existing catalogue product 25
Bambangan,5,Existing catalogue product 26
Bilimbi,5,Existing catalogue product 27
Baccaurea Angulata,5,Existing catalogue product 28
Jujube,5,Existing catalogue product 29
Malay Gooseberry (Cermai),5,Existing catalogue product 30
Dabai,5,Existing catalogue product 31
Soursop,5,Existing catalogue product 32
Cashew Apple,5,Existing catalogue product 33
Water Apple,5,Existing catalogue product 34
Wax Apple,5,Existing catalogue product 35
Malay Apple,5,Existing catalogue product 36
Ambarella,5,Existing catalogue product 37
Kuini,5,Existing catalogue product 38
Kundang,5,Existing catalogue product 39
Lemon,5,Existing catalogue product 40
Longan,5,Existing catalogue product 41
Passion Fruit,5,Existing catalogue product 42
Cat's Eye Fruit (Mata Kucing),5,Existing catalogue product 43
Velvet Apple,5,Existing catalogue product 44
Sweet-sop,5,Existing catalogue product 45
Custard Apple,5,Existing catalogue product 46
Persimmon,5,Existing catalogue product 47
Rambai,5,Existing catalogue product 48
Breadfruit,5,Existing catalogue product 49
Honeydew,5,Existing catalogue product 50
Indian Mackerel,3,Existing catalogue product 51
Short Mackerel,3,Existing catalogue product 52
Narrow-barred Spanish Mackerel,3,Existing catalogue product 53
Indo-Pacific King Mackerel,3,Existing catalogue product 54
Yellowstripe Scad,3,Existing catalogue product 55
Yellowtail Scad,3,Existing catalogue product 56
Torpedo Scad,3,Existing catalogue product 57
Indian Scad,3,Existing catalogue product 58
Goldstripe Sardinella,3,Existing catalogue product 59
Indian Anchovy,3,Existing catalogue product 60
Longtail Tuna,3,Existing catalogue product 61
Skipjack Tuna,3,Existing catalogue product 62
Kawakawa,3,Existing catalogue product 63
Great Barracuda,3,Existing catalogue product 64
Japanese Threadfin Bream,3,Existing catalogue product 65
Malabar Blood Snapper,3,Existing catalogue product 66
Orange-spotted Grouper,3,Existing catalogue product 67
Barramundi,3,Existing catalogue product 68
Silver Pomfret,3,Existing catalogue product 69
Black Pomfret,3,Existing catalogue product 70
Golden Pompano,3,Existing catalogue product 71
Croaker,3,Existing catalogue product 72
Fourfinger Threadfin,3,Existing catalogue product 73
Flathead Grey Mullet,3,Existing catalogue product 74
Milkfish,3,Existing catalogue product 75
White-spotted Rabbitfish,3,Existing catalogue product 76
Whitespotted Whipray,3,Existing catalogue product 77
Requiem Shark,3,Existing catalogue product 78
Long Tongue Sole,3,Existing catalogue product 79
Nile Tilapia,3,Existing catalogue product 80
Striped Catfish,3,Existing catalogue product 81
Walking Catfish,3,Existing catalogue product 82
Striped Snakehead,3,Existing catalogue product 83
Giant Gourami,3,Existing catalogue product 84
Climbing Perch,3,Existing catalogue product 85
Indonesian Shortfin Eel,3,Existing catalogue product 86
Whiteleg Shrimp,3,Existing catalogue product 87
Giant Tiger Prawn,3,Existing catalogue product 88
Banana Prawn,3,Existing catalogue product 89
Blue Swimming Crab,3,Existing catalogue product 90
Mud Crab,3,Existing catalogue product 91
Ornate Spiny Lobster,3,Existing catalogue product 92
Indian Squid,3,Existing catalogue product 93
Pharaoh Cuttlefish,3,Existing catalogue product 94
Day Octopus,3,Existing catalogue product 95
Blood Cockle,3,Existing catalogue product 96
Asian Green Mussel,3,Existing catalogue product 97
Belcher's Oyster,3,Existing catalogue product 98
Asiatic Hard Clam,3,Existing catalogue product 99
Asian Moon Scallop,3,Existing catalogue product 100
Water Spinach,4,Existing catalogue product 101
Bok Choy,4,Existing catalogue product 102
Choy Sum,4,Existing catalogue product 103
Chinese Broccoli,4,Existing catalogue product 104
Amaranth Leaves,4,Existing catalogue product 105
Fiddlehead Fern,4,Existing catalogue product 106
Sweet Leaf,4,Existing catalogue product 107
Round Cabbage,4,Existing catalogue product 108
Napa Cabbage,4,Existing catalogue product 109
Watercress,4,Existing catalogue product 110
Sweet Potato Leaves,4,Existing catalogue product 111
Ceylon Spinach,4,Existing catalogue product 112
Iceberg Lettuce,4,Existing catalogue product 113
Bitter Gourd,4,Existing catalogue product 114
Ridge Gourd,4,Existing catalogue product 115
Winter Melon,4,Existing catalogue product 116
Bottle Gourd,4,Existing catalogue product 117
Snake Gourd,4,Existing catalogue product 118
Chayote,4,Existing catalogue product 119
Cucumber,4,Existing catalogue product 120
Pumpkin,4,Existing catalogue product 121
Yardlong Beans,4,Existing catalogue product 122
French Beans,4,Existing catalogue product 123
Winged Beans,4,Existing catalogue product 124
Okra,4,Existing catalogue product 125
Stink Bean,4,Existing catalogue product 126
Mung Bean Sprouts,4,Existing catalogue product 127
Soybean Sprouts,4,Existing catalogue product 128
Baby Corn,4,Existing catalogue product 129
Bird's Eye Chili,4,Existing catalogue product 130
Red Chili,4,Existing catalogue product 131
Green Chili,4,Existing catalogue product 132
Eggplant,4,Existing catalogue product 133
Tomato,4,Existing catalogue product 134
Lemongrass,4,Existing catalogue product 135
Ginger,4,Existing catalogue product 136
Galangal,4,Existing catalogue product 137
Turmeric,4,Existing catalogue product 138
Torch Ginger Flower,4,Existing catalogue product 139
Curry Leaves,4,Existing catalogue product 140
Pandan Leaves,4,Existing catalogue product 141
Kaffir Lime Leaves,4,Existing catalogue product 142
Spring Onion,4,Existing catalogue product 143
Garlic Chives,4,Existing catalogue product 144
Chinese Celery,4,Existing catalogue product 145
Coriander,4,Existing catalogue product 146
Daikon Radish,4,Existing catalogue product 147
Carrot,4,Existing catalogue product 148
Jicama,4,Existing catalogue product 149
Lotus Root,4,Existing catalogue product 150
Whole Chicken,2,Existing catalogue product 151
Chicken Breast,2,Existing catalogue product 152
Chicken Thigh,2,Existing catalogue product 153
Chicken Drumstick,2,Existing catalogue product 154
Chicken Wings,2,Existing catalogue product 155
Chicken Feet,2,Existing catalogue product 156
Minced Chicken,2,Existing catalogue product 157
Chicken Liver,2,Existing catalogue product 158
Chicken Gizzard,2,Existing catalogue product 159
Free-Range Chicken,2,Existing catalogue product 160
Whole Duck,2,Existing catalogue product 161
Duck Breast,2,Existing catalogue product 162
Duck Leg,2,Existing catalogue product 163
Whole Quail,2,Existing catalogue product 164
Beef Ribeye,2,Existing catalogue product 165
Beef Sirloin,2,Existing catalogue product 166
Beef Tenderloin,2,Existing catalogue product 167
Beef Brisket,2,Existing catalogue product 168
Beef Shank,2,Existing catalogue product 169
Beef Chuck,2,Existing catalogue product 170
Beef Short Ribs,2,Existing catalogue product 171
Beef Flank,2,Existing catalogue product 172
Beef Oxtail,2,Existing catalogue product 173
Minced Beef,2,Existing catalogue product 174
Beef Tendon,2,Existing catalogue product 175
Beef Tripe,2,Existing catalogue product 176
Beef Liver,2,Existing catalogue product 177
Beef Tongue,2,Existing catalogue product 178
Diced Mutton,2,Existing catalogue product 179
Goat Meat,2,Existing catalogue product 180
Lamb Chop,2,Existing catalogue product 181
Lamb Shank,2,Existing catalogue product 182
Lamb Shoulder,2,Existing catalogue product 183
Lamb Leg,2,Existing catalogue product 184
Lamb Ribs,2,Existing catalogue product 185
Minced Lamb,2,Existing catalogue product 186
Pork Belly,2,Existing catalogue product 187
Pork Loin,2,Existing catalogue product 188
Pork Shoulder,2,Existing catalogue product 189
Pork Collar,2,Existing catalogue product 190
Pork Ribs,2,Existing catalogue product 191
Pork Chops,2,Existing catalogue product 192
Minced Pork,2,Existing catalogue product 193
Pork Trotters,2,Existing catalogue product 194
Pork Liver,2,Existing catalogue product 195
Pork Intestines,2,Existing catalogue product 196
Pork Tenderloin,2,Existing catalogue product 197
Pork Belly Slices,2,Existing catalogue product 198
Beef Striploin,2,Existing catalogue product 199
Beef Knuckle,2,Existing catalogue product 200
Milks,1,en:milks
Butters,1,en:butters
Cheeses,1,en:cheeses
Dairies,1,en:dairies
Yogurts,1,en:yogurts
Curd,1,en:curd
whey,1,en:whey
Creams,1,en:creams
Paneer,1,en:paneer
Haymilk,1,en:haymilk
Raclette,1,en:raclette
