reference_key,product_id,category_id,product_name,barcode,description,is_active,source_item_code
catalogue:1,1,5,Starfruit,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:1
catalogue:2,2,5,Papaya,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:2
catalogue:3,3,5,Cempedak,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:3
catalogue:4,4,5,Sapodilla (Ciku),,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:4
catalogue:5,5,5,Dokong,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:5
catalogue:6,6,5,Duku,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:6
catalogue:7,7,5,Durian,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:7
catalogue:8,8,5,Guava,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:8
catalogue:9,9,5,Langsat,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:9
catalogue:10,10,5,Pomelo,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:10
catalogue:11,11,5,Sweet Orange,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:11
catalogue:12,12,5,Mango,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:12
catalogue:13,13,5,Mangosteen,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:13
catalogue:14,14,5,Dragon Fruit,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:14
catalogue:15,15,5,Pineapple,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:15
catalogue:16,16,5,Jackfruit,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:16
catalogue:17,17,5,Banana,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:17
catalogue:18,18,5,Pulasan,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:18
catalogue:19,19,5,Rambutan,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:19
catalogue:20,20,5,Salak,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:20
catalogue:21,21,5,Watermelon,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:21
catalogue:22,22,5,Abiu,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:22
catalogue:23,23,5,Grape,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:23
catalogue:24,24,5,Avocado,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:24
catalogue:25,25,5,Horse Mango (Bacang),,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:25
catalogue:26,26,5,Bambangan,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:26
catalogue:27,27,5,Bilimbi,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:27
catalogue:28,28,5,Baccaurea Angulata,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:28
catalogue:29,29,5,Jujube,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:29
catalogue:30,30,5,Malay Gooseberry (Cermai),,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:30
catalogue:31,31,5,Dabai,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:31
catalogue:32,32,5,Soursop,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:32
catalogue:33,33,5,Cashew Apple,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:33
catalogue:34,34,5,Water Apple,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:34
catalogue:35,35,5,Wax Apple,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:35
catalogue:36,36,5,Malay Apple,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:36
catalogue:37,37,5,Ambarella,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:37
catalogue:38,38,5,Kuini,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:38
catalogue:39,39,5,Kundang,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:39
catalogue:40,40,5,Lemon,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:40
catalogue:41,41,5,Longan,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:41
catalogue:42,42,5,Passion Fruit,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:42
catalogue:43,43,5,Cat's Eye Fruit (Mata Kucing),,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:43
catalogue:44,44,5,Velvet Apple,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:44
catalogue:45,45,5,Sweet-sop,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:45
catalogue:46,46,5,Custard Apple,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:46
catalogue:47,47,5,Persimmon,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:47
catalogue:48,48,5,Rambai,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:48
catalogue:49,49,5,Breadfruit,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:49
catalogue:50,50,5,Honeydew,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:50
catalogue:51,51,3,Indian Mackerel,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:51
catalogue:52,52,3,Short Mackerel,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:52
catalogue:53,53,3,Narrow-barred Spanish Mackerel,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:53
catalogue:54,54,3,Indo-Pacific King Mackerel,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:54
catalogue:55,55,3,Yellowstripe Scad,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:55
catalogue:56,56,3,Yellowtail Scad,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:56
catalogue:57,57,3,Torpedo Scad,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:57
catalogue:58,58,3,Indian Scad,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:58
catalogue:59,59,3,Goldstripe Sardinella,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:59
catalogue:60,60,3,Indian Anchovy,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:60
catalogue:61,61,3,Longtail Tuna,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:61
catalogue:62,62,3,Skipjack Tuna,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:62
catalogue:63,63,3,Kawakawa,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:63
catalogue:64,64,3,Great Barracuda,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:64
catalogue:65,65,3,Japanese Threadfin Bream,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:65
catalogue:66,66,3,Malabar Blood Snapper,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:66
catalogue:67,67,3,Orange-spotted Grouper,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:67
catalogue:68,68,3,Barramundi,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:68
catalogue:69,69,3,Silver Pomfret,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:69
catalogue:70,70,3,Black Pomfret,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:70
catalogue:71,71,3,Golden Pompano,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:71
catalogue:72,72,3,Croaker,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:72
catalogue:73,73,3,Fourfinger Threadfin,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:73
catalogue:74,74,3,Flathead Grey Mullet,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:74
catalogue:75,75,3,Milkfish,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:75
catalogue:76,76,3,White-spotted Rabbitfish,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:76
catalogue:77,77,3,Whitespotted Whipray,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:77
catalogue:78,78,3,Requiem Shark,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:78
catalogue:79,79,3,Long Tongue Sole,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:79
catalogue:80,80,3,Nile Tilapia,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:80
catalogue:81,81,3,Striped Catfish,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:81
catalogue:82,82,3,Walking Catfish,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:82
catalogue:83,83,3,Striped Snakehead,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:83
