reference_key,product_id,category_id,product_name,barcode,description,is_active,source_item_code
pricecatcher:496847fc5e93,,2,Dressed Chicken - Standard,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:1
pricecatcher:3d1afd4447cc,,2,Dressed Chicken - Super,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:2
pricecatcher:c4f2ae70919e,,2,Imported Mutton (With Bones) (Australia - Boxed),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:9
pricecatcher:0b54507248d2,,2,Imported Mutton (With Bones) (New Zealand - Box),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:10
pricecatcher:04d2602fb018,,2,Imported Mutton (Boneless) (Excluding Leg - Australia),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:11
pricecatcher:57737b8f85d6,,2,Imported Mutton (Boneless) (Excluding Leg - New Zealand),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:12
pricecatcher:5b54ec08cc21,,2,Imported Buffalo Meat (India) * (Topside),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:14
pricecatcher:d22fe9162be6,,5,Regular Papaya,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:16
pricecatcher:0257c02c1b91,,5,Berangan Banana,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:18
pricecatcher:61783643598f,,5,Lady Finger Banana (Musa Acuminata 'Lady Finger'),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:19
pricecatcher:5892ad495778,,5,Seeded Red Watermelon,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:20
pricecatcher:d0c977b8e891,,5,Seedless Red Watermelon,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:21
pricecatcher:a14ad4f4bf37,,5,Red Dragon Fruit,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:22
pricecatcher:9db1f072c2c3,,5,Regular Pineapple (Josapine/Morris/Sarawak),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:25
pricecatcher:1c6cf701e27d,,5,Seeded Green Grapes,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:26
pricecatcher:01b86a25df05,,5,Seeded Red Grapes,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:27
pricecatcher:c3adadc926ef,,5,Yellow Lai (Size M),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:31
pricecatcher:7edbc17980a8,,5,Seeded Guava,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:38
pricecatcher:64e18fc06243,,5,Seedless Guava,,PriceCatcher item used for public reference-price matching.,1,pricecatcher:39
pricecatcher:888cd17e3501,,3,Black Pomfret (Between 2 And 5 Fish Per Kilogram),,PriceCatcher item used for public reference-price matching.,1,pricecatcher:43
