product_id,category_id,product_name,barcode
1,5,Starfruit,
2,5,Papaya,
3,5,Cempedak,
4,5,Sapodilla (Ciku),
5,5,Dokong,
6,5,Duku,
7,5,Durian,
8,5,Guava,
9,5,Langsat,
10,5,Pomelo,
11,5,Sweet Orange,
12,5,Mango,
13,5,Mangosteen,
14,5,Dragon Fruit,
15,5,Pineapple,
16,5,Jackfruit,
17,5,Banana,
18,5,Pulasan,
19,5,Rambutan,
20,5,Salak,
21,5,Watermelon,
22,5,Abiu,
23,5,Grape,
24,5,Avocado,
25,5,Horse Mango (Bacang),
26,5,Bambangan,
27,5,Bilimbi,
28,5,Baccaurea Angulata,
29,5,Jujube,
30,5,Malay Gooseberry (Cermai),
31,5,Dabai,
32,5,Soursop,
33,5,Cashew Apple,
34,5,Water Apple,
35,5,Wax Apple,
36,5,Malay Apple,
37,5,Ambarella,
38,5,Kuini,
39,5,Kundang,
40,5,Lemon,
41,5,Longan,
42,5,Passion Fruit,
43,5,Cat's Eye Fruit (Mata Kucing),
44,5,Velvet Apple,
45,5,Sweet-sop,
46,5,Custard Apple,
47,5,Persimmon,
48,5,Rambai,
49,5,Breadfruit,
50,5,Honeydew,
51,3,Indian Mackerel,
52,3,Short Mackerel,
53,3,Narrow-barred Spanish Mackerel,
54,3,Indo-Pacific King Mackerel,
55,3,Yellowstripe Scad,
56,3,Yellowtail Scad,
57,3,Torpedo Scad,
58,3,Indian Scad,
59,3,Goldstripe Sardinella,
60,3,Indian Anchovy,
61,3,Longtail Tuna,
62,3,Skipjack Tuna,
63,3,Kawakawa,
64,3,Great Barracuda,
65,3,Japanese Threadfin Bream,
66,3,Malabar Blood Snapper,
67,3,Orange-spotted Grouper,
68,3,Barramundi,
69,3,Silver Pomfret,
70,3,Black Pomfret,
71,3,Golden Pompano,
72,3,Croaker,
73,3,Fourfinger Threadfin,
74,3,Flathead Grey Mullet,
75,3,Milkfish,
76,3,White-spotted Rabbitfish,
77,3,Whitespotted Whipray,
78,3,Requiem Shark,
79,3,Long Tongue Sole,
80,3,Nile Tilapia,
81,3,Striped Catfish,
82,3,Walking Catfish,
83,3,Striped Snakehead,
84,3,Giant Gourami,
85,3,Climbing Perch,
86,3,Indonesian Shortfin Eel,
87,3,Whiteleg Shrimp,
88,3,Giant Tiger Prawn,
89,3,Banana Prawn,
90,3,Blue Swimming Crab,
91,3,Mud Crab,
92,3,Ornate Spiny Lobster,
93,3,Indian Squid,
94,3,Pharaoh Cuttlefish,
95,3,Day Octopus,
96,3,Blood Cockle,
97,3,Asian Green Mussel,
98,3,Belcher's Oyster,
99,3,Asiatic Hard Clam,
100,3,Asian Moon Scallop,
